,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
0,l1_ratio,0.0,0.11597020630961882,0.0,0.0,0.0,0.0,0.0,0.0
8,n_clusters_per_class,0.0,0.5495893353222933,0.0,0.0,0.0,0.0,0.0,0.0
9,n_informative,0.0,0.7598313957714566,0.0,0.0,0.0,0.0,0.0,0.0
1,alpha,0.00030708951946484145,0.0022345000804150804,0.0,0.0,0.0,0.0,0.0,0.0
3,random_state,0.0023158227644106155,143.5483375905134,-0.004225975976261895,0.08451951952523787,0.004225975976261895,0.08451951952523787,0.0,0.0
13,penalty=elasticnet,0.022799340195921346,,,,,,,
7,n_classes,0.024012938192736175,1.244887043068567,-0.0490136534112578,0.05848573750706484,0.055878426548902765,0.05905769359646336,0.0,0.0
10,flip_y,0.030954520921807137,0.015165325636762336,0.02518302468419593,0.006679462550506887,0.04562250250403254,0.013760015269329733,0.0,0.0
15,penalty=l1,0.035312665398586796,,,,,,,
12,penalty=none,0.043766419553943156,,,,,,,
11,scale,0.05166266516508886,14.478304726911345,0.0019176537472555377,0.4621169238497816,0.07218836828471886,0.4659924648539566,0.0,0.0
14,penalty=l2,0.07040352587657796,,,,,,,
4,n_jobs,0.11473476712388071,1.4738470069854603,0.03696181983413369,-0.04683437313408314,0.3969703510528685,0.38462959560138926,0.0,0.0
5,n_samples,0.16772542813139996,186.4297259693314,-0.3947453587515507,0.343554465605972,0.3955626220334778,0.3503550591472635,0.0,0.0
6,n_features,0.21697919516452296,187.37240256705363,-0.4134491162423666,0.7644814663297865,0.416938700282385,0.7914381011524796,0.0,0.0626344975652744
2,max_iter,0.21902562199165948,132.33429251331646,-0.32508950491373345,0.38677465117412757,0.36693748431321815,0.43117102796412154,0.10125202485864615,0.1012520248586462
