,time
0,0.444903
1,3.885633
2,0.523594
3,1.044614
4,0.615035
5,6.672246
6,2.872584
7,3.512757
8,1.007332
9,3.138596
10,2.025357
11,1.244784
12,0.617594
13,2.345566
14,1.988925
15,0.107742
16,2.101377
17,0.510662
18,1.054759
19,4.410379
20,0.106739
21,0.427892
22,0.742159
23,0.761143
24,2.745056
25,0.682201
26,2.223498
27,0.310188
28,1.060164
29,3.468974
30,2.04491
31,0.654037
32,0.213429
33,3.112673
34,0.925231
35,2.236511
36,6.421609
37,0.226379
38,20.290893
39,0.213643
40,6.247758
41,2.602039
42,0.662229
43,0.424862
44,0.662231
45,2.835931
46,4.472588
47,9.671226
48,19.283452
49,0.106699
50,2.798514
51,1.44742
52,5.905207
53,0.834793
54,0.325132
55,10.524853
56,1.785987
57,0.530681
58,3.884606
59,0.767107
60,2.322907
61,1.103046
62,2.050435
63,1.21445
64,2.297883
65,0.455779
66,4.485038
67,0.525651
68,0.931509
69,0.392975
70,0.965411
71,0.314547
72,12.104641
73,1.061161
74,0.357077
75,6.566271
76,13.176004
77,2.29885
78,2.543198
79,1.543871
80,0.857707
81,6.812924
82,3.855688
83,0.95311
84,9.544506
85,0.213428
86,1.57379
87,0.32826
88,3.527597
89,0.811131
90,1.587161
91,1.408277
92,1.102052
93,0.469743
94,0.735033
95,0.607409
96,2.944505
97,4.955776
98,0.221407
99,1.284325
100,1.484674
101,2.324207
102,1.86914
103,4.117006
104,1.169938
105,1.011296
106,0.553561
107,0.64516
108,3.362008
109,0.555532
110,0.742047
111,0.109702
112,0.146605
113,0.625497
114,1.860024
115,4.477446
116,1.984923
117,1.245371
118,5.416118
119,7.776245
120,1.646743
121,0.532711
122,0.978382
123,2.245191
124,0.327077
125,2.950136
126,17.235935
127,0.459768
128,0.335178
129,4.456865
130,2.101467
131,1.362358
132,0.603386
133,3.415866
134,3.811807
135,0.158575
136,3.790859
137,4.033214
138,3.415652
139,0.890642
140,4.19578
141,10.3725
142,6.317105
143,0.933618
144,0.787885
145,0.322138
146,15.562381
147,5.594038
148,0.434857
149,1.112045
150,0.317151
151,0.622331
152,1.982497
153,1.324768
154,0.432814
155,2.594327
156,17.497206
157,1.654669
158,1.939857
159,0.156581
160,0.175529
161,1.44713
162,8.017876
163,0.112698
164,2.448452
165,10.890416
166,3.520984
167,0.621042
168,7.484362
169,5.547175
170,1.64061
171,5.618973
172,2.616998
173,12.941418
174,5.09261
175,0.51975
176,1.624074
177,11.914165
178,25.409067
179,7.923281
180,1.517483
181,1.050192
182,0.686211
183,3.270435
184,5.007885
185,5.285015
186,6.871663
187,2.563145
188,1.549884
189,1.45437
190,0.418316
191,1.135541
192,1.357878
193,0.957399
194,4.167068
195,1.780265
196,4.216752
197,0.895632
198,2.043909
199,3.044855
200,3.274231
201,0.356031
202,3.286719
203,1.306642
204,1.186823
205,1.226734
206,1.184898
207,1.495133
208,1.277154
209,0.258338
210,0.808836
211,0.636294
212,3.099487
213,1.502937
214,38.740378
215,11.677762
216,1.085516
217,5.712093
218,0.444196
219,0.887655
220,1.519005
221,2.790397
222,13.085037
223,3.573444
224,23.878012
225,1.302996
226,1.621662
227,1.767304
228,4.739631
229,0.787973
230,0.530581
231,7.643557
232,3.867655
233,18.520471
234,0.112698
235,3.802829
236,0.334106
237,0.667214
238,8.830451
239,1.859136
240,2.52425
241,9.196769
242,7.540807
243,2.535299
244,2.592485
245,1.032254
246,2.486196
247,0.530453
248,1.728113
249,2.5153
250,6.221126
251,1.313434
252,5.311794
253,9.003183
254,1.481297
255,5.35387
256,0.557506
257,4.806145
258,1.738349
259,4.052579
260,4.397626
261,1.884957
262,0.313889
263,0.626323
264,1.248727
265,1.236691
266,1.835713
267,1.151899
268,0.762957
269,1.782261
270,4.521934
271,0.171533
272,1.653658
273,5.041507
274,9.411861
275,2.482644
276,1.152863
277,0.416914
278,1.919864
279,3.574653
280,2.00462
281,1.481989
282,0.673209
283,1.369061
284,4.977846
285,2.87131
286,0.334138
287,2.483944
288,7.163292
289,5.330735
290,1.064173
291,1.019276
292,3.949518
293,0.765858
294,1.785222
295,1.348815
296,0.33311
